FAILE (collectif) 	FAILE 	(collectif) 	p	x
Vasconselos Joana 	Vasconselos 	Joana 	p	x
Morris Sarah 	Morris 	Sarah 	p	x
Atassi Farah 	Atassi 	Farah 	p	x
Monet Claude 	Monet 	Claude 	p	x
Arp Jean 	Arp 	Jean 	p	x
Magnelli Alfredo 	Magnelli 	Alfredo 	p	x
Brauner Victor 	Brauner 	Victor 	p	x
Helion Jean 	Helion 	Jean 	p	x
Hajdu Etienne 	Hajdu 	Etienne 	p	x
Ernst Max 	Ernst 	Max 	p	x
Murillo Gerardo 	Murillo 	Gerardo 	p	x
Herbin Auguste 	Herbin 	Auguste 	p	x
Signac Paul 	Signac 	Paul 	p	x
Zarraga Angel 	Zarraga 	Angel 	p	x
Camoin Charles 	Camoin 	Charles 	p	x
Sisley Alfred 	Sisley 	Alfred 	p	x
Gerard François 	Gerard 	François 	p	x
